unit,reto,reto_name,start_ms,end_ms,duration_ms,status,notes
i,1,Directorio /etc (FHS),1785414818218,1785414818227,9,PASS,ok
i,2,/var vs /tmp,1785414818237,1785414818248,11,PASS,ok
i,3,Comando pwd,1785414818258,1785414818268,10,PASS,ok
i,4,Opción ls -a,1785414818279,1785414818289,10,PASS,ok
i,5,Permisos 755,1785414818299,1785414818312,13,PASS,ok
i,6,WSL2 arquitectura,1785414818322,1785414818332,10,PASS,ok
i,7,Comando mount,1785414818342,1785414818353,11,PASS,ok
i,8,UID de root,1785414818363,1785414818373,10,PASS,ok
i,9,Símbolo pipe,1785414818383,1785414818393,10,PASS,ok
i,10,df -h espacio disco,1785414818403,1785414818414,11,PASS,ok
ii,1,Actualizar repositorios,1785414818454,1785414818475,21,PASS,ok
ii,2,Instalar vim,1785414818485,1785414818497,12,PASS,ok
ii,3,Instalar curl y tree,1785414818507,1785414818520,13,PASS,ok
ii,4,Consultar info de paquete,1785414818530,1785414818550,20,PASS,ok
ii,5,Buscar paquetes,1785414818560,1785414818582,22,PASS,ok
ii,6,Consultar estado con dpkg,1785414818592,1785414818605,13,PASS,ok
ii,7,Listar archivos de paquete,1785414818615,1785414818627,12,PASS,ok
ii,8,Identificar paquete propietario,1785414818638,1785414818656,18,PASS,ok
ii,9,Eliminar paquete (conservar config),1785414818667,1785414818679,12,FAIL,validation_failed
ii,10,Eliminar paquete y configuracion,1785414818689,1785414818703,14,PASS,ok
iii,1,Crear primer script,1785414818737,1785414818746,9,FAIL,validation_failed
iii,2,Variables y entrada,1785414818757,1785414818766,9,FAIL,validation_failed
iii,3,Condicionales if/else,1785414818777,1785414818787,10,FAIL,validation_failed
iii,4,Bucle for,1785414818797,1785414818809,12,FAIL,validation_failed
iii,5,Bucle while,1785414818819,1785414818829,10,FAIL,validation_failed
iii,6,Funciones,1785414818838,1785414818850,12,FAIL,validation_failed
iii,7,Arrays,1785414818860,1785414818872,12,FAIL,validation_failed
iii,8,Argumentos de linea,1785414818881,1785414818893,12,FAIL,validation_failed
iii,9,Redireccion de salida,1785414818903,1785414818914,11,FAIL,validation_failed
iii,10,Manejo de errores,1785414818924,1785414818935,11,FAIL,validation_failed
iv,1,Crear usuario,1785414818969,1785414818979,10,FAIL,validation_failed
iv,2,Crear grupo,1785414818989,1785414818999,10,FAIL,validation_failed
iv,3,Agregar usuario a grupo,1785414819009,1785414819019,10,FAIL,validation_failed
iv,4,Cambiar contrasena,1785414819029,1785414819043,14,FAIL,validation_failed
iv,5,Cambiar shell por defecto,1785414819053,1785414819064,11,FAIL,validation_failed
iv,6,Crear directorio home,1785414819074,1785414819084,10,FAIL,validation_failed
iv,7,Cambiar ownership,1785414819094,1785414819105,11,FAIL,validation_failed
iv,8,Configurar permisos,1785414819114,1785414819125,11,FAIL,validation_failed
iv,9,Eliminar usuario,1785414819135,1785414819146,11,PASS,ok
iv,10,Limpiar usuario y grupo,1785414819155,1785414819165,10,PASS,ok
